epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,1627.9,0.86122,0.58592,1.09862,0.94401,0.93657,0.98133,0.83435,0.65338,0.29947,0.96668,0.00035,0.00035,0.00035
127,1640.89,0.85433,0.57423,1.10274,0.94902,0.935,0.9819,0.83314,0.64795,0.29753,0.96196,0.0003368,0.0003368,0.0003368
128,1653.98,0.85087,0.57839,1.09814,0.9397,0.94753,0.98145,0.8345,0.64152,0.30424,0.95749,0.0003236,0.0003236,0.0003236
129,1666.81,0.85469,0.59356,1.10514,0.93756,0.94067,0.98097,0.83328,0.63688,0.30681,0.95425,0.0003104,0.0003104,0.0003104
130,1679.75,0.85046,0.61586,1.09951,0.93867,0.93814,0.98141,0.83843,0.63053,0.29567,0.9518,0.0002972,0.0002972,0.0002972
131,1692.59,0.84697,0.61423,1.09685,0.94231,0.93368,0.98193,0.83607,0.63749,0.30349,0.95579,0.000284,0.000284,0.000284
132,1705.44,0.83837,0.57436,1.08852,0.94125,0.92847,0.98077,0.84016,0.63063,0.30335,0.95469,0.0002708,0.0002708,0.0002708
133,1718.35,0.81021,0.57962,1.08239,0.94506,0.93814,0.98157,0.8398,0.62927,0.29958,0.95465,0.0002576,0.0002576,0.0002576
134,1731.19,0.8069,0.55724,1.08268,0.95283,0.93265,0.98288,0.8388,0.6337,0.2903,0.94919,0.0002444,0.0002444,0.0002444
135,1744.03,0.81624,0.58932,1.08603,0.94718,0.94084,0.98359,0.84417,0.61638,0.28658,0.94688,0.0002312,0.0002312,0.0002312
136,1756.86,0.80207,0.53856,1.08529,0.94673,0.94635,0.98438,0.84627,0.6207,0.28423,0.94395,0.000218,0.000218,0.000218
137,1769.71,0.8008,0.5551,1.07666,0.94591,0.94675,0.98501,0.84734,0.61571,0.28303,0.94511,0.0002048,0.0002048,0.0002048
138,1782.57,0.83531,0.56071,1.08816,0.95959,0.92982,0.98376,0.84728,0.61601,0.28203,0.94661,0.0001916,0.0001916,0.0001916
139,1795.48,0.81265,0.56637,1.08333,0.95121,0.94597,0.9849,0.84616,0.61859,0.27867,0.94599,0.0001784,0.0001784,0.0001784
140,1808.39,0.80357,0.5307,1.08626,0.95376,0.93684,0.98423,0.84526,0.62044,0.28106,0.94462,0.0001652,0.0001652,0.0001652
141,1828.75,0.72987,0.43995,1.03701,0.96544,0.9397,0.98424,0.83634,0.64257,0.28407,0.95422,0.000152,0.000152,0.000152
142,1841.66,0.68724,0.38795,1.01598,0.95686,0.93785,0.98436,0.84203,0.62995,0.2764,0.94674,0.0001388,0.0001388,0.0001388
143,1854.45,0.69236,0.39905,1.01574,0.95359,0.94362,0.98504,0.84413,0.62843,0.27724,0.94648,0.0001256,0.0001256,0.0001256
144,1867.27,0.71229,0.37483,1.02507,0.95768,0.93925,0.98522,0.84812,0.61885,0.27612,0.9428,0.0001124,0.0001124,0.0001124
145,1880.17,0.70613,0.38613,1.02451,0.95522,0.94518,0.98645,0.84994,0.61586,0.27452,0.94152,9.92e-05,9.92e-05,9.92e-05
146,1892.9,0.66172,0.3569,0.99979,0.94794,0.95301,0.98692,0.85249,0.61251,0.27172,0.94002,8.6e-05,8.6e-05,8.6e-05
147,1905.49,0.68219,0.37178,1.01482,0.95312,0.94832,0.98588,0.8531,0.60968,0.27221,0.93831,7.28e-05,7.28e-05,7.28e-05
148,1918.23,0.67205,0.36335,1.00531,0.95491,0.9453,0.98567,0.85159,0.60797,0.27168,0.93593,5.96e-05,5.96e-05,5.96e-05
149,1931.07,0.67965,0.36182,0.98861,0.95494,0.94603,0.98561,0.8505,0.60553,0.27699,0.93518,4.64e-05,4.64e-05,4.64e-05
150,1943.87,0.68006,0.37777,1.01301,0.94966,0.9491,0.98502,0.85017,0.60574,0.27591,0.93579,3.32e-05,3.32e-05,3.32e-05
