epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1799.46,0.51062,0.3941,0.97954,0.95851,0.96835,0.97785,0.88959,0.51242,0.33623,0.94508,0.0003368,0.0003368,0.0003368
128,1814.01,0.49814,0.38481,0.9728,0.95241,0.95005,0.97966,0.88673,0.51394,0.35112,0.94348,0.0003236,0.0003236,0.0003236
129,1828.51,0.50643,0.38682,0.97217,0.95915,0.96595,0.9797,0.89264,0.53367,0.32034,0.96276,0.0003104,0.0003104,0.0003104
130,1843.05,0.5039,0.38532,0.97001,0.96487,0.95253,0.97848,0.8954,0.51768,0.3302,0.95171,0.0002972,0.0002972,0.0002972
131,1857.55,0.50581,0.38684,0.97057,0.96207,0.9631,0.98187,0.8942,0.51602,0.30355,0.94617,0.000284,0.000284,0.000284
132,1872.14,0.494,0.38378,0.96484,0.9616,0.95099,0.97503,0.88194,0.52536,0.32619,0.9477,0.0002708,0.0002708,0.0002708
133,1886.67,0.49484,0.38148,0.96681,0.97613,0.95253,0.97684,0.88823,0.4964,0.30522,0.93836,0.0002576,0.0002576,0.0002576
134,1901.17,0.50994,0.38665,0.96859,0.96148,0.96203,0.97503,0.8874,0.5191,0.30988,0.95873,0.0002444,0.0002444,0.0002444
135,1915.75,0.48812,0.3829,0.96605,0.95908,0.96431,0.97675,0.8926,0.54577,0.32816,0.97822,0.0002312,0.0002312,0.0002312
136,1930.36,0.4838,0.37415,0.96276,0.97407,0.95106,0.9782,0.89282,0.52346,0.31746,0.95535,0.000218,0.000218,0.000218
137,1944.98,0.47721,0.36327,0.96508,0.96874,0.9462,0.97818,0.89219,0.50415,0.33484,0.94151,0.0002048,0.0002048,0.0002048
138,1959.46,0.47432,0.3591,0.95996,0.96189,0.95852,0.97951,0.89781,0.5245,0.3315,0.96323,0.0001916,0.0001916,0.0001916
139,1973.99,0.47708,0.37089,0.96427,0.95711,0.95253,0.97686,0.89563,0.52871,0.33438,0.96893,0.0001784,0.0001784,0.0001784
140,1988.49,0.48473,0.3761,0.96266,0.95296,0.96167,0.97817,0.89341,0.52755,0.32578,0.96162,0.0001652,0.0001652,0.0001652
141,2009.36,0.39479,0.28883,0.90584,0.96168,0.95297,0.97499,0.88849,0.52259,0.33493,0.96321,0.000152,0.000152,0.000152
142,2023.47,0.37757,0.2721,0.8943,0.96314,0.95886,0.9765,0.89583,0.50364,0.32335,0.94926,0.0001388,0.0001388,0.0001388
143,2037.76,0.37317,0.26556,0.89493,0.96816,0.9622,0.98216,0.90231,0.51365,0.3174,0.95582,0.0001256,0.0001256,0.0001256
144,2052.07,0.36527,0.26408,0.88832,0.976,0.96203,0.97994,0.89785,0.48588,0.32156,0.92608,0.0001124,0.0001124,0.0001124
145,2066.66,0.36813,0.2589,0.88927,0.96987,0.9557,0.98087,0.90512,0.50548,0.31647,0.94911,9.92e-05,9.92e-05,9.92e-05
146,2081.01,0.36975,0.26117,0.8926,0.96734,0.95886,0.98215,0.90495,0.49585,0.31003,0.94312,8.6e-05,8.6e-05,8.6e-05
147,2095.35,0.35868,0.25445,0.88556,0.96758,0.95886,0.98262,0.90801,0.50087,0.31695,0.95076,7.28e-05,7.28e-05,7.28e-05
148,2109.66,0.35284,0.24945,0.88358,0.96384,0.96203,0.98195,0.90506,0.51364,0.3145,0.95925,5.96e-05,5.96e-05,5.96e-05
149,2123.98,0.3656,0.25547,0.88863,0.97024,0.96203,0.98189,0.90554,0.51416,0.31387,0.95935,4.64e-05,4.64e-05,4.64e-05
150,2138.16,0.35109,0.2473,0.88286,0.97121,0.96078,0.98187,0.90686,0.50963,0.31157,0.95941,3.32e-05,3.32e-05,3.32e-05
